Rank,NOC,Gold,Silver,Bronze,Total,Year,Total Score,Is Host,Yearly Total Score,Score_Rate,lag1_coeff,lag2_coeff,lag3_coeff
22,Peru,1,0,0,1,1948,3,0,822,0.0036496350364963,-0.000488819,-0.001099503,0.0350495765136951
24,Yugoslavia,0,2,0,2,1948,4,0,822,0.0048661800486618,0.0853694851248009,-0.012944361,0.0515068632115274
25,Canada,0,1,2,3,1948,4,0,822,0.0048661800486618,0.0147731501056603,-0.004054787,0.0028425278416601
26,Portugal,0,1,1,2,1948,3,0,822,0.0036496350364963,0.0502517307220905,0.0062580577956718,0.0442410827754413
26,Uruguay,0,1,1,2,1948,3,0,822,0.0036496350364963,-0.007648627,0.0321630839059514,0.0383103151530274
28,Ceylon,0,1,0,1,1948,2,0,822,0.0024330900243309,0.0,0.0,0.0
28,Cuba,0,1,0,1,1948,2,0,822,0.0024330900243309,0.1150892571363936,-0.012649172,-0.039939664
28,Spain,0,1,0,1,1948,2,0,822,0.0024330900243309,0.0523829915644519,-0.003431032,0.0516043365955357
28,Trinidad and Tobago,0,1,0,1,1948,2,0,822,0.0024330900243309,0.0485508378565269,-0.0326002,0.0571114635394481
32,Panama,0,0,2,2,1948,2,0,822,0.0024330900243309,0.0,0.0,0.0
32,South Korea,0,0,2,2,1948,2,0,822,0.0024330900243309,0.1299539397074564,-0.096731247,0.0460938076451412
34,Brazil,0,0,1,1,1948,1,0,822,0.0012165450121654,0.0474667852272042,0.0131828339023468,0.0570026670928254
34,Iran,0,0,1,1,1948,1,0,822,0.0012165450121654,0.0238295166639712,0.0229610738475428,0.0439875021982788
34,Poland,0,0,1,1,1948,1,0,822,0.0012165450121654,0.0960781072930106,-0.033445012,0.0298788401460767
34,Puerto Rico,0,0,1,1,1948,1,0,822,0.0012165450121654,0.0333449017498307,0.0077939908203272,0.0451754467957053
1,United States,40,19,17,76,1952,175,0,909,0.1925192519251925,-0.018635704,-0.009878765,-0.005536997
2,Soviet Union,22,30,19,71,1952,145,0,909,0.1595159515951595,0.019355685452282,-0.166917418,-0.094159854
3,Hungary,16,10,16,42,1952,84,0,909,0.0924092409240924,0.081822948682144,-0.015298107,0.0298869241525155
4,Sweden,12,13,10,35,1952,72,0,909,0.0792079207920792,0.0678301712724681,-0.015719948,0.0220085393768702
5,Italy,8,9,4,21,1952,46,0,909,0.0506050605060506,-0.028464728,0.000580383620461,0.0517707547535864
6,Czechoslovakia,7,3,3,13,1952,30,0,909,0.033003300330033,0.0749821282239202,-0.036724513,0.056253129472886
7,France,6,6,6,18,1952,36,0,909,0.0396039603960396,-0.007371037,-0.005794931,-0.00930495
8,Finland,6,3,13,22,1952,37,1,909,0.0407040704070407,0.0687637573636961,0.0453412694394228,-0.030496104
9,Australia,6,2,3,11,1952,25,0,909,0.0275027502750275,0.0593783761803394,0.0105979239956092,-0.017491077
10,Norway,3,2,0,5,1952,13,0,909,0.0143014301430143,0.0736612564982121,0.0268687394913607,-0.030603601
11,Switzerland,2,6,6,14,1952,24,0,909,0.0264026402640264,0.0645047778662797,-0.042643872,0.0670263595359131
12,South Africa,2,4,4,10,1952,18,0,909,0.0198019801980198,0.0097076475034568,-0.014002044,0.0208371289553415
13,Jamaica,2,3,0,5,1952,12,0,909,0.0132013201320132,0.0855338332575038,-0.021296139,0.0019865870098395
14,Belgium,2,2,0,4,1952,10,0,909,0.011001100110011,0.0999535450525768,-0.072116842,0.0394756734574606
15,Denmark,2,1,3,6,1952,11,0,909,0.0121012101210121,0.11215174873682,-0.059377711,0.0395365798657709
16,Turkey,2,0,1,3,1952,7,0,909,0.0077007700770077,0.0348245838511438,0.0071872141261822,0.0390670382651637
17,Japan,1,6,2,9,1952,17,0,909,0.0187018701870187,0.0308954330278842,0.0076793706983338,-0.020519968
18,Great Britain,1,2,8,11,1952,15,0,909,0.0165016501650165,-0.06192036,-0.031880806,-0.009741821
19,Argentina,1,2,2,5,1952,9,0,909,0.0099009900990099,0.0377932089641432,-0.009101754,0.0501999133209208
20,Poland,1,2,1,4,1952,8,0,909,0.0088008800880088,0.0960781072930106,-0.033445012,0.0298788401460767
21,Canada,1,2,0,3,1952,7,0,909,0.0077007700770077,0.0147731501056603,-0.004054787,0.0028425278416601
21,Yugoslavia,1,2,0,3,1952,7,0,909,0.0077007700770077,0.0853694851248009,-0.012944361,0.0515068632115274
23,Romania,1,1,2,4,1952,7,0,909,0.0077007700770077,0.1381380069280918,-0.032482878,-0.008737718
24,Brazil,1,0,2,3,1952,5,0,909,0.0055005500550055,0.0474667852272042,0.0131828339023468,0.0570026670928254
24,New Zealand,1,0,2,3,1952,5,0,909,0.0055005500550055,0.0991513404046973,-0.003886849,0.0097812651250406
26,India,1,0,1,2,1952,4,0,909,0.0044004400440044,0.0354053868167537,0.0374176492799498,0.0175643905294755
27,Luxembourg,1,0,0,1,1952,3,0,909,0.0033003300330033,0.0,0.0,0.0
28,Germany,0,7,17,24,1952,31,0,909,0.0341034103410341,0.0037464236304567,0.054508500406284,0.0294116358445334
29,Netherlands,0,5,0,5,1952,10,0,909,0.011001100110011,0.0326027226637719,0.0182504912085674,-0.013945041
30,Iran,0,3,4,7,1952,10,0,909,0.011001100110011,0.0238295166639712,0.0229610738475428,0.0439875021982788
31,Chile,0,2,0,2,1952,4,0,909,0.0044004400440044,0.0061582518953526,-0.003767427,0.0468435264192354
32,Austria,0,1,1,2,1952,3,0,909,0.0033003300330033,0.1426373113008584,-0.072329556,0.0240571260583699
32,Lebanon,0,1,1,2,1952,3,0,909,0.0033003300330033,0.0,0.0,0.0
34,Ireland,0,1,0,1,1952,2,0,909,0.0022002200220022,0.0043770977096089,0.0492732399711982,0.0361240253097746
34,Mexico,0,1,0,1,1952,2,0,909,0.0022002200220022,-0.036453767,-0.033701709,-0.026782985
34,Spain,0,1,0,1,1952,2,0,909,0.0022002200220022,0.0523829915644519,-0.003431032,0.0516043365955357
37,South Korea,0,0,2,2,1952,2,0,909,0.0022002200220022,0.1299539397074564,-0.096731247,0.0460938076451412
37,Trinidad and Tobago,0,0,2,2,1952,2,0,909,0.0022002200220022,0.0485508378565269,-0.0326002,0.0571114635394481
37,Uruguay,0,0,2,2,1952,2,0,909,0.0022002200220022,-0.007648627,0.0321630839059514,0.0383103151530274
40,Bulgaria,0,0,1,1,1952,1,0,909,0.0011001100110011,0.0933639052482865,0.0060403658726689,-0.012116691
40,Egypt,0,0,1,1,1952,1,0,909,0.0011001100110011,-0.011362303,0.0170307797201968,-0.019578094
40,Portugal,0,0,1,1,1952,1,0,909,0.0011001100110011,0.0502517307220905,0.0062580577956718,0.0442410827754413
40,Venezuela,0,0,1,1,1952,1,0,909,0.0011001100110011,0.0982120652382588,-0.009936818,0.018882609597689
1,Soviet Union,37,29,32,98,1956,201,0,928,0.2165948275862069,0.019355685452282,-0.166917418,-0.094159854
2,United States,32,25,17,74,1956,163,0,928,0.1756465517241379,-0.018635704,-0.009878765,-0.005536997
3,Australia,13,8,14,35,1956,69,1,928,0.074353448275862,0.0593783761803394,0.0105979239956092,-0.017491077
4,Hungary,9,10,7,26,1956,54,0,928,0.0581896551724137,0.081822948682144,-0.015298107,0.0298869241525155
5,Italy,8,8,9,25,1956,49,0,928,0.052801724137931,-0.028464728,0.000580383620461,0.0517707547535864
6,Sweden,8,5,6,19,1956,40,0,928,0.043103448275862,0.0678301712724681,-0.015719948,0.0220085393768702
7,United Team of Germany,6,13,7,26,1956,51,0,928,0.0549568965517241,0.0,0.0,0.0
8,Great Britain,6,7,11,24,1956,43,0,928,0.0463362068965517,-0.06192036,-0.031880806,-0.009741821
9,Romania,5,3,5,13,1956,26,0,928,0.0280172413793103,0.1381380069280918,-0.032482878,-0.008737718
10,Japan,4,10,5,19,1956,37,0,928,0.0398706896551724,0.0308954330278842,0.0076793706983338,-0.020519968
11,France,4,4,6,14,1956,26,0,928,0.0280172413793103,-0.007371037,-0.005794931,-0.00930495
12,Turkey,3,2,2,7,1956,15,0,928,0.0161637931034482,0.0348245838511438,0.0071872141261822,0.0390670382651637
13,Finland,3,1,11,15,1956,22,0,928,0.0237068965517241,0.0687637573636961,0.0453412694394228,-0.030496104
14,Iran,2,2,1,5,1956,11,0,928,0.011853448275862,0.0238295166639712,0.0229610738475428,0.0439875021982788
15,Canada,2,1,3,6,1956,11,0,928,0.011853448275862,0.0147731501056603,-0.004054787,0.0028425278416601
16,New Zealand,2,0,0,2,1956,6,0,928,0.0064655172413793,0.0991513404046973,-0.003886849,0.0097812651250406
17,Poland,1,4,4,9,1956,15,0,928,0.0161637931034482,0.0960781072930106,-0.033445012,0.0298788401460767
18,Czechoslovakia,1,4,1,6,1956,12,0,928,0.0129310344827586,0.0749821282239202,-0.036724513,0.056253129472886
19,Bulgaria,1,3,1,5,1956,10,0,928,0.0107758620689655,0.0933639052482865,0.0060403658726689,-0.012116691
20,Denmark,1,2,1,4,1956,8,0,928,0.0086206896551724,0.11215174873682,-0.059377711,0.0395365798657709
21,Ireland,1,1,3,5,1956,8,0,928,0.0086206896551724,0.0043770977096089,0.0492732399711982,0.0361240253097746
22,Norway,1,0,2,3,1956,5,0,928,0.0053879310344827,0.0736612564982121,0.0268687394913607,-0.030603601
23,Mexico,1,0,1,2,1956,4,0,928,0.0043103448275862,-0.036453767,-0.033701709,-0.026782985
24,Brazil,1,0,0,1,1956,3,0,928,0.0032327586206896,0.0474667852272042,0.0131828339023468,0.0570026670928254
24,India,1,0,0,1,1956,3,0,928,0.0032327586206896,0.0354053868167537,0.0374176492799498,0.0175643905294755
26,Yugoslavia,0,3,0,3,1956,6,0,928,0.0064655172413793,0.0853694851248009,-0.012944361,0.0515068632115274
27,Chile,0,2,2,4,1956,6,0,928,0.0064655172413793,0.0061582518953526,-0.003767427,0.0468435264192354
28,Belgium,0,2,0,2,1956,4,0,928,0.0043103448275862,0.0999535450525768,-0.072116842,0.0394756734574606
29,Argentina,0,1,1,2,1956,3,0,928,0.0032327586206896,0.0377932089641432,-0.009101754,0.0501999133209208
29,South Korea,0,1,1,2,1956,3,0,928,0.0032327586206896,0.1299539397074564,-0.096731247,0.0460938076451412
31,Iceland,0,1,0,1,1956,2,0,928,0.0021551724137931,0.0,0.0,0.0
31,Pakistan,0,1,0,1,1956,2,0,928,0.0021551724137931,-0.044496238,0.0428995127110449,0.0556258349103398
33,South Africa,0,0,4,4,1956,4,0,928,0.0043103448275862,0.0097076475034568,-0.014002044,0.0208371289553415
34,Austria,0,0,2,2,1956,2,0,928,0.0021551724137931,0.1426373113008584,-0.072329556,0.0240571260583699
35,Bahamas,0,0,1,1,1956,1,0,928,0.0010775862068965,0.0588599123419141,-0.010917959,0.0616733057440297
35,Greece,0,0,1,1,1956,1,0,928,0.0010775862068965,0.064844238365524,-0.031648542,-0.000569784
35,Switzerland,0,0,1,1,1956,1,0,928,0.0010775862068965,0.0645047778662797,-0.042643872,0.0670263595359131
35,Uruguay,0,0,1,1,1956,1,0,928,0.0010775862068965,-0.007648627,0.0321630839059514,0.0383103151530274
1,Soviet Union,43,29,31,103,1960,218,0,914,0.2385120350109409,0.019355685452282,-0.166917418,-0.094159854
2,United States,34,21,16,71,1960,160,0,914,0.175054704595186,-0.018635704,-0.009878765,-0.005536997
3,Italy,13,10,13,36,1960,72,1,914,0.0787746170678337,-0.028464728,0.000580383620461,0.0517707547535864
4,United Team of Germany,12,19,11,42,1960,85,0,914,0.0929978118161925,0.0,0.0,0.0
5,Australia,8,8,6,22,1960,46,0,914,0.0503282275711159,0.0593783761803394,0.0105979239956092,-0.017491077
6,Turkey,7,2,0,9,1960,25,0,914,0.0273522975929978,0.0348245838511438,0.0071872141261822,0.0390670382651637
7,Hungary,6,8,7,21,1960,41,0,914,0.0448577680525164,0.081822948682144,-0.015298107,0.0298869241525155
8,Japan,4,7,7,18,1960,33,0,914,0.0361050328227571,0.0308954330278842,0.0076793706983338,-0.020519968
9,Poland,4,6,11,21,1960,35,0,914,0.0382932166301969,0.0960781072930106,-0.033445012,0.0298788401460767
10,Czechoslovakia,3,2,3,8,1960,16,0,914,0.0175054704595186,0.0749821282239202,-0.036724513,0.056253129472886
11,Romania,3,1,6,10,1960,17,0,914,0.0185995623632385,0.1381380069280918,-0.032482878,-0.008737718
12,Great Britain,2,6,12,20,1960,30,0,914,0.0328227571115973,-0.06192036,-0.031880806,-0.009741821
13,Denmark,2,3,1,6,1960,13,0,914,0.0142231947483588,0.11215174873682,-0.059377711,0.0395365798657709
14,New Zealand,2,0,1,3,1960,7,0,914,0.0076586433260393,0.0991513404046973,-0.003886849,0.0097812651250406
15,Bulgaria,1,3,3,7,1960,12,0,914,0.0131291028446389,0.0933639052482865,0.0060403658726689,-0.012116691
16,Sweden,1,2,3,6,1960,10,0,914,0.0109409190371991,0.0678301712724681,-0.015719948,0.0220085393768702
17,Finland,1,1,3,5,1960,8,0,914,0.0087527352297593,0.0687637573636961,0.0453412694394228,-0.030496104
18,Austria,1,1,0,2,1960,5,0,914,0.0054704595185995,0.1426373113008584,-0.072329556,0.0240571260583699
18,Yugoslavia,1,1,0,2,1960,5,0,914,0.0054704595185995,0.0853694851248009,-0.012944361,0.0515068632115274
20,Pakistan,1,0,1,2,1960,4,0,914,0.0043763676148796,-0.044496238,0.0428995127110449,0.0556258349103398
21,Ethiopia,1,0,0,1,1960,3,0,914,0.0032822757111597,0.0501833073817357,0.0377994327773924,0.0065221512437059
21,Greece,1,0,0,1,1960,3,0,914,0.0032822757111597,0.064844238365524,-0.031648542,-0.000569784
21,Norway,1,0,0,1,1960,3,0,914,0.0032822757111597,0.0736612564982121,0.0268687394913607,-0.030603601
24,Switzerland,0,3,3,6,1960,9,0,914,0.0098468271334792,0.0645047778662797,-0.042643872,0.0670263595359131
25,France,0,2,3,5,1960,7,0,914,0.0076586433260393,-0.007371037,-0.005794931,-0.00930495
26,Belgium,0,2,2,4,1960,6,0,914,0.0065645514223194,0.0999535450525768,-0.072116842,0.0394756734574606
27,Iran,0,1,3,4,1960,5,0,914,0.0054704595185995,0.0238295166639712,0.0229610738475428,0.0439875021982788
28,Netherlands,0,1,2,3,1960,4,0,914,0.0043763676148796,0.0326027226637719,0.0182504912085674,-0.013945041
28,South Africa,0,1,2,3,1960,4,0,914,0.0043763676148796,0.0097076475034568,-0.014002044,0.0208371289553415
30,Argentina,0,1,1,2,1960,3,0,914,0.0032822757111597,0.0377932089641432,-0.009101754,0.0501999133209208
30,Egypt,0,1,1,2,1960,3,0,914,0.0032822757111597,-0.011362303,0.0170307797201968,-0.019578094
32,Canada,0,1,0,1,1960,2,0,914,0.0021881838074398,0.0147731501056603,-0.004054787,0.0028425278416601
32,Formosa,0,1,0,1,1960,2,0,914,0.0021881838074398,0.0,0.0,0.0
32,Ghana,0,1,0,1,1960,2,0,914,0.0021881838074398,0.02241060568343,0.0350502596303638,0.0039971230831726
32,India,0,1,0,1,1960,2,0,914,0.0021881838074398,0.0354053868167537,0.0374176492799498,0.0175643905294755
32,Morocco,0,1,0,1,1960,2,0,914,0.0021881838074398,0.0572735364001462,-0.004840799,0.0265370076612803
32,Portugal,0,1,0,1,1960,2,0,914,0.0021881838074398,0.0502517307220905,0.0062580577956718,0.0442410827754413
32,Singapore,0,1,0,1,1960,2,0,914,0.0021881838074398,-0.029312439,0.0052517274344294,0.0842469383657985
39,Brazil,0,0,2,2,1960,2,0,914,0.0021881838074398,0.0474667852272042,0.0131828339023468,0.0570026670928254
39,British West Indies,0,0,2,2,1960,2,0,914,0.0021881838074398,0.0,0.0,0.0
41,Iraq,0,0,1,1,1960,1,0,914,0.0010940919037199,0.0,0.0,0.0
41,Mexico,0,0,1,1,1960,1,0,914,0.0010940919037199,-0.036453767,-0.033701709,-0.026782985
41,Spain,0,0,1,1,1960,1,0,914,0.0010940919037199,0.0523829915644519,-0.003431032,0.0516043365955357
41,Venezuela,0,0,1,1,1960,1,0,914,0.0010940919037199,0.0982120652382588,-0.009936818,0.018882609597689
1,United States,36,26,28,90,1964,188,0,997,0.1885656970912738,-0.018635704,-0.009878765,-0.005536997
2,Soviet Union,30,31,35,96,1964,187,0,997,0.1875626880641925,0.019355685452282,-0.166917418,-0.094159854
3,Japan,16,5,8,29,1964,66,1,997,0.066198595787362,0.0308954330278842,0.0076793706983338,-0.020519968
4,United Team of Germany,10,22,18,50,1964,92,0,997,0.0922768304914744,0.0,0.0,0.0
5,Italy,10,10,7,27,1964,57,0,997,0.0571715145436308,-0.028464728,0.000580383620461,0.0517707547535864
6,Hungary,10,7,5,22,1964,49,0,997,0.0491474423269809,0.081822948682144,-0.015298107,0.0298869241525155
7,Poland,7,6,10,23,1964,43,0,997,0.0431293881644934,0.0960781072930106,-0.033445012,0.0298788401460767
8,Australia,6,2,10,18,1964,32,0,997,0.0320962888665998,0.0593783761803394,0.0105979239956092,-0.017491077
9,Czechoslovakia,5,6,3,14,1964,30,0,997,0.0300902708124373,0.0749821282239202,-0.036724513,0.056253129472886
10,Great Britain,4,12,2,18,1964,38,0,997,0.0381143430290872,-0.06192036,-0.031880806,-0.009741821
11,Bulgaria,3,5,2,10,1964,21,0,997,0.0210631895687061,0.0933639052482865,0.0060403658726689,-0.012116691
12,Finland,3,0,2,5,1964,11,0,997,0.0110330992978936,0.0687637573636961,0.0453412694394228,-0.030496104
12,New Zealand,3,0,2,5,1964,11,0,997,0.0110330992978936,0.0991513404046973,-0.003886849,0.0097812651250406
14,Romania,2,4,6,12,1964,20,0,997,0.0200601805416248,0.1381380069280918,-0.032482878,-0.008737718
15,Netherlands,2,4,4,10,1964,18,0,997,0.0180541624874623,0.0326027226637719,0.0182504912085674,-0.013945041
16,Turkey,2,3,1,6,1964,13,0,997,0.0130391173520561,0.0348245838511438,0.0071872141261822,0.0390670382651637
17,Sweden,2,2,4,8,1964,14,0,997,0.0140421263791374,0.0678301712724681,-0.015719948,0.0220085393768702
18,Denmark,2,1,3,6,1964,11,0,997,0.0110330992978936,0.11215174873682,-0.059377711,0.0395365798657709
19,Yugoslavia,2,1,2,5,1964,10,0,997,0.0100300902708124,0.0853694851248009,-0.012944361,0.0515068632115274
20,Belgium,2,0,1,3,1964,7,0,997,0.0070210631895687,0.0999535450525768,-0.072116842,0.0394756734574606
21,France,1,8,6,15,1964,25,0,997,0.025075225677031,-0.007371037,-0.005794931,-0.00930495
22,Canada,1,2,1,4,1964,8,0,997,0.0080240722166499,0.0147731501056603,-0.004054787,0.0028425278416601
22,Switzerland,1,2,1,4,1964,8,0,997,0.0080240722166499,0.0645047778662797,-0.042643872,0.0670263595359131
24,Bahamas,1,0,0,1,1964,3,0,997,0.0030090270812437,0.0588599123419141,-0.010917959,0.0616733057440297
24,Ethiopia,1,0,0,1,1964,3,0,997,0.0030090270812437,0.0501833073817357,0.0377994327773924,0.0065221512437059
24,India,1,0,0,1,1964,3,0,997,0.0030090270812437,0.0354053868167537,0.0374176492799498,0.0175643905294755
27,South Korea,0,2,1,3,1964,5,0,997,0.0050150451354062,0.1299539397074564,-0.096731247,0.0460938076451412
28,Trinidad and Tobago,0,1,2,3,1964,4,0,997,0.0040120361083249,0.0485508378565269,-0.0326002,0.0571114635394481
29,Tunisia,0,1,1,2,1964,3,0,997,0.0030090270812437,0.0654829717458007,-0.022690087,0.0501545173104222
30,Argentina,0,1,0,1,1964,2,0,997,0.0020060180541624,0.0377932089641432,-0.009101754,0.0501999133209208
30,Cuba,0,1,0,1,1964,2,0,997,0.0020060180541624,0.1150892571363936,-0.012649172,-0.039939664
30,Pakistan,0,1,0,1,1964,2,0,997,0.0020060180541624,-0.044496238,0.0428995127110449,0.0556258349103398
30,Philippines,0,1,0,1,1964,2,0,997,0.0020060180541624,0.1125621440638615,0.0413774240570134,-0.04002275
34,Iran,0,0,2,2,1964,2,0,997,0.0020060180541624,0.0238295166639712,0.0229610738475428,0.0439875021982788
35,Brazil,0,0,1,1,1964,1,0,997,0.0010030090270812,0.0474667852272042,0.0131828339023468,0.0570026670928254
35,Ghana,0,0,1,1,1964,1,0,997,0.0010030090270812,0.02241060568343,0.0350502596303638,0.0039971230831726
35,Ireland,0,0,1,1,1964,1,0,997,0.0010030090270812,0.0043770977096089,0.0492732399711982,0.0361240253097746
35,Kenya,0,0,1,1,1964,1,0,997,0.0010030090270812,-0.020869328,-0.005983973,0.0143254487759907
35,Mexico,0,0,1,1,1964,1,0,997,0.0010030090270812,-0.036453767,-0.033701709,-0.026782985
35,Nigeria,0,0,1,1,1964,1,0,997,0.0010030090270812,0.0588066290734749,0.0090844331932762,0.0141666385594043
35,Uruguay,0,0,1,1,1964,1,0,997,0.0010030090270812,-0.007648627,0.0321630839059514,0.0383103151530274
1,United States,45,28,34,107,1968,225,0,1045,0.215311004784689,-0.018635704,-0.009878765,-0.005536997
2,Soviet Union,29,32,30,91,1968,181,0,1045,0.1732057416267942,0.019355685452282,-0.166917418,-0.094159854
3,Japan,11,7,7,25,1968,54,0,1045,0.0516746411483253,0.0308954330278842,0.0076793706983338,-0.020519968
4,Hungary,10,10,12,32,1968,62,0,1045,0.0593301435406698,0.081822948682144,-0.015298107,0.0298869241525155
5,East Germany,9,9,7,25,1968,52,0,1045,0.0497607655502392,0.2166333723281624,-0.012795974,-0.259261104
6,France,7,3,5,15,1968,32,0,1045,0.0306220095693779,-0.007371037,-0.005794931,-0.00930495
7,Czechoslovakia,7,2,4,13,1968,29,0,1045,0.0277511961722488,0.0749821282239202,-0.036724513,0.056253129472886
8,West Germany,5,11,10,26,1968,47,0,1045,0.0449760765550239,-0.039513987,0.1932056288316797,-0.044257035
9,Australia,5,7,5,17,1968,34,0,1045,0.0325358851674641,0.0593783761803394,0.0105979239956092,-0.017491077
10,Great Britain,5,5,3,13,1968,28,0,1045,0.0267942583732057,-0.06192036,-0.031880806,-0.009741821
11,Poland,5,2,11,18,1968,30,0,1045,0.0287081339712918,0.0960781072930106,-0.033445012,0.0298788401460767
12,Romania,4,6,5,15,1968,29,0,1045,0.0277511961722488,0.1381380069280918,-0.032482878,-0.008737718
13,Italy,3,4,9,16,1968,26,0,1045,0.0248803827751196,-0.028464728,0.000580383620461,0.0517707547535864
14,Kenya,3,4,2,9,1968,19,0,1045,0.0181818181818181,-0.020869328,-0.005983973,0.0143254487759907
15,Mexico,3,3,3,9,1968,18,1,1045,0.0172248803827751,-0.036453767,-0.033701709,-0.026782985
16,Yugoslavia,3,3,2,8,1968,17,0,1045,0.016267942583732,0.0853694851248009,-0.012944361,0.0515068632115274
17,Netherlands,3,3,1,7,1968,16,0,1045,0.0153110047846889,0.0326027226637719,0.0182504912085674,-0.013945041
18,Bulgaria,2,4,3,9,1968,17,0,1045,0.016267942583732,0.0933639052482865,0.0060403658726689,-0.012116691
19,Iran,2,1,2,5,1968,10,0,1045,0.0095693779904306,0.0238295166639712,0.0229610738475428,0.0439875021982788
20,Sweden,2,1,1,4,1968,9,0,1045,0.0086124401913875,0.0678301712724681,-0.015719948,0.0220085393768702
21,Turkey,2,0,0,2,1968,6,0,1045,0.0057416267942583,0.0348245838511438,0.0071872141261822,0.0390670382651637
22,Denmark,1,4,3,8,1968,14,0,1045,0.0133971291866028,0.11215174873682,-0.059377711,0.0395365798657709
23,Canada,1,3,1,5,1968,10,0,1045,0.0095693779904306,0.0147731501056603,-0.004054787,0.0028425278416601
24,Finland,1,2,1,4,1968,8,0,1045,0.0076555023923444,0.0687637573636961,0.0453412694394228,-0.030496104
25,Ethiopia,1,1,0,2,1968,5,0,1045,0.0047846889952153,0.0501833073817357,0.0377994327773924,0.0065221512437059
25,Norway,1,1,0,2,1968,5,0,1045,0.0047846889952153,0.0736612564982121,0.0268687394913607,-0.030603601
27,New Zealand,1,0,2,3,1968,5,0,1045,0.0047846889952153,0.0991513404046973,-0.003886849,0.0097812651250406
28,Tunisia,1,0,1,2,1968,4,0,1045,0.0038277511961722,0.0654829717458007,-0.022690087,0.0501545173104222
29,Pakistan,1,0,0,1,1968,3,0,1045,0.0028708133971291,-0.044496238,0.0428995127110449,0.0556258349103398
29,Venezuela,1,0,0,1,1968,3,0,1045,0.0028708133971291,0.0982120652382588,-0.009936818,0.018882609597689
31,Cuba,0,4,0,4,1968,8,0,1045,0.0076555023923444,0.1150892571363936,-0.012649172,-0.039939664
32,Austria,0,2,2,4,1968,6,0,1045,0.0057416267942583,0.1426373113008584,-0.072329556,0.0240571260583699
33,Switzerland,0,1,4,5,1968,6,0,1045,0.0057416267942583,0.0645047778662797,-0.042643872,0.0670263595359131
34,Mongolia,0,1,3,4,1968,5,0,1045,0.0047846889952153,0.0356543206119922,0.0040909768986558,0.038058462930323
35,Brazil,0,1,2,3,1968,4,0,1045,0.0038277511961722,0.0474667852272042,0.0131828339023468,0.0570026670928254
36,Belgium,0,1,1,2,1968,3,0,1045,0.0028708133971291,0.0999535450525768,-0.072116842,0.0394756734574606
36,South Korea,0,1,1,2,1968,3,0,1045,0.0028708133971291,0.1299539397074564,-0.096731247,0.0460938076451412
36,Uganda,0,1,1,2,1968,3,0,1045,0.0028708133971291,0.0952758899767234,-0.08244583,0.076982418418866
39,Cameroon,0,1,0,1,1968,2,0,1045,0.0019138755980861,0.2906221822213744,-0.144000571,-0.108229423
39,Jamaica,0,1,0,1,1968,2,0,1045,0.0019138755980861,0.0855338332575038,-0.021296139,0.0019865870098395
41,Argentina,0,0,2,2,1968,2,0,1045,0.0019138755980861,0.0377932089641432,-0.009101754,0.0501999133209208
42,Greece,0,0,1,1,1968,1,0,1045,0.000956937799043,0.064844238365524,-0.031648542,-0.000569784
42,India,0,0,1,1,1968,1,0,1045,0.000956937799043,0.0354053868167537,0.0374176492799498,0.0175643905294755
42,Taiwan,0,0,1,1,1968,1,0,1045,0.000956937799043,0.0,0.0,0.0
1,Soviet Union,50,27,22,99,1972,226,0,1185,0.190717299578059,0.019355685452282,-0.166917418,-0.094159854
2,United States,33,31,30,94,1972,191,0,1185,0.1611814345991561,-0.018635704,-0.009878765,-0.005536997
3,East Germany,20,23,23,66,1972,129,0,1185,0.1088607594936708,0.2166333723281624,-0.012795974,-0.259261104
4,West Germany,13,11,16,40,1972,77,1,1185,0.0649789029535864,-0.039513987,0.1932056288316797,-0.044257035
5,Japan,13,8,8,29,1972,63,0,1185,0.0531645569620253,0.0308954330278842,0.0076793706983338,-0.020519968
6,Australia,8,7,2,17,1972,40,0,1185,0.0337552742616033,0.0593783761803394,0.0105979239956092,-0.017491077
7,Poland,7,5,9,21,1972,40,0,1185,0.0337552742616033,0.0960781072930106,-0.033445012,0.0298788401460767
8,Hungary,6,13,16,35,1972,60,0,1185,0.050632911392405,0.081822948682144,-0.015298107,0.0298869241525155
9,Bulgaria,6,10,5,21,1972,43,0,1185,0.0362869198312236,0.0933639052482865,0.0060403658726689,-0.012116691
10,Italy,5,3,10,18,1972,31,0,1185,0.0261603375527426,-0.028464728,0.000580383620461,0.0517707547535864
11,Sweden,4,6,6,16,1972,30,0,1185,0.0253164556962025,0.0678301712724681,-0.015719948,0.0220085393768702
12,Great Britain,4,5,9,18,1972,31,0,1185,0.0261603375527426,-0.06192036,-0.031880806,-0.009741821
13,Romania,3,6,7,16,1972,28,0,1185,0.0236286919831223,0.1381380069280918,-0.032482878,-0.008737718
14,Cuba,3,1,4,8,1972,15,0,1185,0.0126582278481012,0.1150892571363936,-0.012649172,-0.039939664
14,Finland,3,1,4,8,1972,15,0,1185,0.0126582278481012,0.0687637573636961,0.0453412694394228,-0.030496104
16,Netherlands,3,1,1,5,1972,12,0,1185,0.010126582278481,0.0326027226637719,0.0182504912085674,-0.013945041
17,France,2,4,7,13,1972,21,0,1185,0.0177215189873417,-0.007371037,-0.005794931,-0.00930495
18,Czechoslovakia,2,4,2,8,1972,16,0,1185,0.0135021097046413,0.0749821282239202,-0.036724513,0.056253129472886
