Rank,NOC,Gold,Silver,Bronze,Total,Year,Total Score,Is Host,Yearly Total Score
14,Yugoslavia,2,3,4,9,1980,16,0,1243
15,Australia,2,2,5,9,1980,15,0,1243
16,Denmark,2,1,2,5,1980,10,0,1243
17,Brazil,2,0,2,4,1980,8,0,1243
17,Ethiopia,2,0,2,4,1980,8,0,1243
19,Switzerland,2,0,0,2,1980,6,0,1243
20,Spain,1,3,2,6,1980,11,0,1243
21,Austria,1,2,1,4,1980,8,0,1243
22,Greece,1,0,2,3,1980,5,0,1243
23,Belgium,1,0,0,1,1980,3,0,1243
23,India,1,0,0,1,1980,3,0,1243
23,Zimbabwe,1,0,0,1,1980,3,0,1243
26,North Korea,0,3,2,5,1980,8,0,1243
27,Mongolia,0,2,2,4,1980,6,0,1243
28,Tanzania,0,2,0,2,1980,4,0,1243
29,Mexico,0,1,3,4,1980,5,0,1243
30,Netherlands,0,1,2,3,1980,4,0,1243
31,Ireland,0,1,1,2,1980,3,0,1243
32,Uganda,0,1,0,1,1980,2,0,1243
32,Venezuela,0,1,0,1,1980,2,0,1243
34,Jamaica,0,0,3,3,1980,3,0,1243
35,Guyana,0,0,1,1,1980,1,0,1243
35,Lebanon,0,0,1,1,1980,1,0,1243
1,United States,83,61,30,174,1984,401,1,1359
2,Romania,20,16,17,53,1984,109,0,1359
3,West Germany,17,19,23,59,1984,112,0,1359
4,China,15,8,9,32,1984,70,0,1359
5,Italy,14,6,12,32,1984,66,0,1359
6,Canada,10,18,16,44,1984,82,0,1359
7,Japan,10,8,14,32,1984,60,0,1359
8,New Zealand,8,1,2,11,1984,28,0,1359
9,Yugoslavia,7,4,7,18,1984,36,0,1359
10,South Korea,6,6,7,19,1984,37,0,1359
11,Great Britain,5,11,21,37,1984,58,0,1359
12,France,5,7,16,28,1984,45,0,1359
13,Netherlands,5,2,6,13,1984,25,0,1359
14,Australia,4,8,12,24,1984,40,0,1359
15,Finland,4,2,6,12,1984,22,0,1359
16,Sweden,2,11,6,19,1984,34,0,1359
17,Mexico,2,3,1,6,1984,13,0,1359
18,Morocco,2,0,0,2,1984,6,0,1359
19,Brazil,1,5,2,8,1984,15,0,1359
20,Spain,1,2,2,5,1984,9,0,1359
21,Belgium,1,1,2,4,1984,7,0,1359
22,Austria,1,1,1,3,1984,6,0,1359
23,Kenya,1,0,2,3,1984,5,0,1359
23,Portugal,1,0,2,3,1984,5,0,1359
25,Pakistan,1,0,0,1,1984,3,0,1359
26,Switzerland,0,4,4,8,1984,12,0,1359
27,Denmark,0,3,3,6,1984,9,0,1359
28,Jamaica,0,1,2,3,1984,4,0,1359
28,Norway,0,1,2,3,1984,4,0,1359
30,Greece,0,1,1,2,1984,3,0,1359
30,Nigeria,0,1,1,2,1984,3,0,1359
30,Puerto Rico,0,1,1,2,1984,3,0,1359
33,Colombia,0,1,0,1,1984,2,0,1359
33,Egypt,0,1,0,1,1984,2,0,1359
33,Ireland,0,1,0,1,1984,2,0,1359
33,Ivory Coast,0,1,0,1,1984,2,0,1359
33,Peru,0,1,0,1,1984,2,0,1359
33,Syria,0,1,0,1,1984,2,0,1359
33,Thailand,0,1,0,1,1984,2,0,1359
40,Turkey,0,0,3,3,1984,3,0,1359
40,Venezuela,0,0,3,3,1984,3,0,1359
42,Algeria,0,0,2,2,1984,2,0,1359
43,Cameroon,0,0,1,1,1984,1,0,1359
43,Chinese Taipei,0,0,1,1,1984,1,0,1359
43,Dominican Republic,0,0,1,1,1984,1,0,1359
43,Iceland,0,0,1,1,1984,1,0,1359
43,Zambia,0,0,1,1,1984,1,0,1359
1,Soviet Union,55,31,46,132,1988,273,0,1455
2,East Germany,37,35,30,102,1988,211,0,1455
3,United States,36,31,27,94,1988,197,0,1455
4,South Korea,12,10,11,33,1988,67,1,1455
5,West Germany,11,14,15,40,1988,76,0,1455
6,Hungary,11,6,6,23,1988,51,0,1455
7,Bulgaria,10,12,13,35,1988,67,0,1455
8,Romania,7,11,6,24,1988,49,0,1455
9,France,6,4,6,16,1988,32,0,1455
10,Italy,6,4,4,14,1988,30,0,1455
11,China,5,11,12,28,1988,49,0,1455
12,Great Britain,5,10,9,24,1988,44,0,1455
13,Kenya,5,2,2,9,1988,21,0,1455
14,Japan,4,3,7,14,1988,25,0,1455
15,Australia,3,6,5,14,1988,26,0,1455
16,Yugoslavia,3,4,5,12,1988,22,0,1455
17,Czechoslovakia,3,3,2,8,1988,17,0,1455
18,New Zealand,3,2,8,13,1988,21,0,1455
19,Canada,3,2,5,10,1988,18,0,1455
20,Poland,2,5,9,16,1988,25,0,1455
21,Norway,2,3,0,5,1988,12,0,1455
22,Netherlands,2,2,5,9,1988,15,0,1455
23,Denmark,2,1,1,4,1988,9,0,1455
24,Brazil,1,2,3,6,1988,10,0,1455
25,Finland,1,1,2,4,1988,7,0,1455
25,Spain,1,1,2,4,1988,7,0,1455
27,Turkey,1,1,0,2,1988,5,0,1455
28,Morocco,1,0,2,3,1988,5,0,1455
29,Austria,1,0,0,1,1988,3,0,1455
29,Portugal,1,0,0,1,1988,3,0,1455
29,Suriname,1,0,0,1,1988,3,0,1455
32,Sweden,0,4,7,11,1988,15,0,1455
33,Switzerland,0,2,2,4,1988,6,0,1455
34,Jamaica,0,2,0,2,1988,4,0,1455
35,Argentina,0,1,1,2,1988,3,0,1455
36,Chile,0,1,0,1,1988,2,0,1455
36,Costa Rica,0,1,0,1,1988,2,0,1455
36,Indonesia,0,1,0,1,1988,2,0,1455
36,Iran,0,1,0,1,1988,2,0,1455
36,Netherlands Antilles,0,1,0,1,1988,2,0,1455
36,Peru,0,1,0,1,1988,2,0,1455
36,Senegal,0,1,0,1,1988,2,0,1455
36,Virgin Islands,0,1,0,1,1988,2,0,1455
44,Belgium,0,0,2,2,1988,2,0,1455
44,Mexico,0,0,2,2,1988,2,0,1455
46,Colombia,0,0,1,1,1988,1,0,1455
46,Djibouti,0,0,1,1,1988,1,0,1455
46,Greece,0,0,1,1,1988,1,0,1455
46,Mongolia,0,0,1,1,1988,1,0,1455
46,Pakistan,0,0,1,1,1988,1,0,1455
46,Philippines,0,0,1,1,1988,1,0,1455
46,Thailand,0,0,1,1,1988,1,0,1455
1,Unified Team,45,38,29,112,1992,240,0,1592
2,United States,37,34,37,108,1992,216,0,1592
3,Germany,33,21,28,82,1992,169,0,1592
4,China,16,22,16,54,1992,108,0,1592
5,Cuba,14,6,11,31,1992,65,0,1592
6,Spain,13,7,2,22,1992,55,1,1592
7,South Korea,12,5,12,29,1992,58,0,1592
8,Hungary,11,12,7,30,1992,64,0,1592
9,France,8,5,16,29,1992,50,0,1592
10,Australia,7,9,11,27,1992,50,0,1592
11,Canada,7,4,7,18,1992,36,0,1592
12,Italy,6,5,8,19,1992,36,0,1592
13,Great Britain,5,3,12,20,1992,33,0,1592
14,Romania,4,6,8,18,1992,32,0,1592
15,Czechoslovakia,4,2,1,7,1992,17,0,1592
16,North Korea,4,0,5,9,1992,17,0,1592
17,Japan,3,8,11,22,1992,36,0,1592
18,Bulgaria,3,7,6,16,1992,29,0,1592
19,Poland,3,6,10,19,1992,31,0,1592
20,Netherlands,2,6,7,15,1992,25,0,1592
21,Kenya,2,4,2,8,1992,16,0,1592
22,Norway,2,4,1,7,1992,15,0,1592
23,Turkey,2,2,2,6,1992,12,0,1592
24,Indonesia,2,2,1,5,1992,11,0,1592
25,Brazil,2,1,0,3,1992,8,0,1592
26,Greece,2,0,0,2,1992,6,0,1592
27,Sweden,1,7,4,12,1992,21,0,1592
28,New Zealand,1,4,5,10,1992,16,0,1592
29,Finland,1,2,2,5,1992,9,0,1592
30,Denmark,1,1,4,6,1992,9,0,1592
31,Morocco,1,1,1,3,1992,6,0,1592
32,Ireland,1,1,0,2,1992,5,0,1592
33,Ethiopia,1,0,2,3,1992,5,0,1592
34,Algeria,1,0,1,2,1992,4,0,1592
34,Estonia,1,0,1,2,1992,4,0,1592
34,Lithuania,1,0,1,2,1992,4,0,1592
37,Switzerland,1,0,0,1,1992,3,0,1592
38,Jamaica,0,3,1,4,1992,7,0,1592
38,Nigeria,0,3,1,4,1992,7,0,1592
40,Latvia,0,2,1,3,1992,5,0,1592
41,Austria,0,2,0,2,1992,4,0,1592
41,Namibia,0,2,0,2,1992,4,0,1592
41,South Africa,0,2,0,2,1992,4,0,1592
44,Belgium,0,1,2,3,1992,4,0,1592
44,Croatia,0,1,2,3,1992,4,0,1592
44,Independent Olympic Participants,0,1,2,3,1992,4,0,1592
44,Iran,0,1,2,3,1992,4,0,1592
48,Israel,0,1,1,2,1992,3,0,1592
49,Chinese Taipei,0,1,0,1,1992,2,0,1592
49,Mexico,0,1,0,1,1992,2,0,1592
49,Peru,0,1,0,1,1992,2,0,1592
52,Mongolia,0,0,2,2,1992,2,0,1592
52,Slovenia,0,0,2,2,1992,2,0,1592
54,Argentina,0,0,1,1,1992,1,0,1592
54,Bahamas,0,0,1,1,1992,1,0,1592
54,Colombia,0,0,1,1,1992,1,0,1592
54,Ghana,0,0,1,1,1992,1,0,1592
54,Malaysia,0,0,1,1,1992,1,0,1592
54,Pakistan,0,0,1,1,1992,1,0,1592
54,Philippines,0,0,1,1,1992,1,0,1592
54,Puerto Rico,0,0,1,1,1992,1,0,1592
54,Qatar,0,0,1,1,1992,1,0,1592
54,Suriname,0,0,1,1,1992,1,0,1592
54,Thailand,0,0,1,1,1992,1,0,1592
1,United States,44,32,25,101,1996,221,1,1657
2,Russia,26,21,16,63,1996,136,0,1657
3,Germany,20,18,27,65,1996,123,0,1657
4,China,16,22,12,50,1996,104,0,1657
5,France,15,7,15,37,1996,74,0,1657
6,Italy,13,10,12,35,1996,71,0,1657
7,Australia,9,9,23,41,1996,68,0,1657
8,Cuba,9,8,8,25,1996,51,0,1657
9,Ukraine,9,2,12,23,1996,43,0,1657
10,South Korea,7,15,5,27,1996,56,0,1657
11,Poland,7,5,5,17,1996,36,0,1657
12,Hungary,7,4,10,21,1996,39,0,1657
13,Spain,5,6,6,17,1996,33,0,1657
14,Romania,4,7,9,20,1996,35,0,1657
15,Netherlands,4,5,10,19,1996,32,0,1657
16,Greece,4,4,0,8,1996,20,0,1657
17,Czech Republic,4,3,4,11,1996,22,0,1657
18,Switzerland,4,3,0,7,1996,18,0,1657
19,Denmark,4,1,1,6,1996,15,0,1657
19,Turkey,4,1,1,6,1996,15,0,1657
21,Canada,3,11,8,22,1996,39,0,1657
22,Bulgaria,3,7,5,15,1996,28,0,1657
23,Japan,3,6,5,14,1996,26,0,1657
24,Kazakhstan,3,4,4,11,1996,21,0,1657
25,Brazil,3,3,9,15,1996,24,0,1657
26,New Zealand,3,2,1,6,1996,14,0,1657
27,South Africa,3,1,1,5,1996,12,0,1657
28,Ireland,3,0,1,4,1996,10,0,1657
29,Sweden,2,4,2,8,1996,16,0,1657
30,Norway,2,2,3,7,1996,13,0,1657
31,Belgium,2,2,2,6,1996,12,0,1657
32,Nigeria,2,1,3,6,1996,11,0,1657
33,North Korea,2,1,2,5,1996,10,0,1657
34,Algeria,2,0,1,3,1996,7,0,1657
34,Ethiopia,2,0,1,3,1996,7,0,1657
36,Great Britain,1,8,6,15,1996,25,0,1657
37,Belarus,1,6,8,15,1996,23,0,1657
38,Kenya,1,4,3,8,1996,14,0,1657
39,Jamaica,1,3,2,6,1996,11,0,1657
40,Finland,1,2,1,4,1996,8,0,1657
41,FR Yugoslavia,1,1,2,4,1996,7,0,1657
41,Indonesia,1,1,2,4,1996,7,0,1657
43,Iran,1,1,1,3,1996,6,0,1657
43,Slovakia,1,1,1,3,1996,6,0,1657
45,Armenia,1,1,0,2,1996,5,0,1657
45,Croatia,1,1,0,2,1996,5,0,1657
47,Portugal,1,0,1,2,1996,4,0,1657
47,Thailand,1,0,1,2,1996,4,0,1657
49,Burundi,1,0,0,1,1996,3,0,1657
49,Costa Rica,1,0,0,1,1996,3,0,1657
49,Ecuador,1,0,0,1,1996,3,0,1657
49,Hong Kong,1,0,0,1,1996,3,0,1657
49,Syria,1,0,0,1,1996,3,0,1657
54,Argentina,0,2,1,3,1996,5,0,1657
55,Namibia,0,2,0,2,1996,4,0,1657
55,Slovenia,0,2,0,2,1996,4,0,1657
57,Austria,0,1,2,3,1996,4,0,1657
58,Malaysia,0,1,1,2,1996,3,0,1657
58,Moldova,0,1,1,2,1996,3,0,1657
58,Uzbekistan,0,1,1,2,1996,3,0,1657
61,Azerbaijan,0,1,0,1,1996,2,0,1657
61,Bahamas,0,1,0,1,1996,2,0,1657
61,Chinese Taipei,0,1,0,1,1996,2,0,1657
61,Latvia,0,1,0,1,1996,2,0,1657
61,Philippines,0,1,0,1,1996,2,0,1657
61,Tonga,0,1,0,1,1996,2,0,1657
61,Zambia,0,1,0,1,1996,2,0,1657
68,Georgia,0,0,2,2,1996,2,0,1657
68,Morocco,0,0,2,2,1996,2,0,1657
68,Trinidad and Tobago,0,0,2,2,1996,2,0,1657
71,India,0,0,1,1,1996,1,0,1657
71,Israel,0,0,1,1,1996,1,0,1657
71,Lithuania,0,0,1,1,1996,1,0,1657
71,Mexico,0,0,1,1,1996,1,0,1657
71,Mongolia,0,0,1,1,1996,1,0,1657
71,Mozambique,0,0,1,1,1996,1,0,1657
71,Puerto Rico,0,0,1,1,1996,1,0,1657
71,Tunisia,0,0,1,1,1996,1,0,1657
71,Uganda,0,0,1,1,1996,1,0,1657
1,United States,37,24,32,93,2000,191,0,1827
2,Russia,32,28,29,89,2000,181,0,1827
3,China,28,16,14,58,2000,130,0,1827
4,Australia,16,25,17,58,2000,115,1,1827
5,Germany,13,17,26,56,2000,99,0,1827
6,France,13,14,11,38,2000,78,0,1827
7,Italy,13,8,13,34,2000,68,0,1827
8,Netherlands,12,9,4,25,2000,58,0,1827
9,Cuba,11,11,7,29,2000,62,0,1827
10,Great Britain,11,10,7,28,2000,60,0,1827
11,Romania,11,6,9,26,2000,54,0,1827
12,South Korea,8,10,10,28,2000,54,0,1827
13,Hungary,8,6,3,17,2000,39,0,1827
14,Poland,6,5,3,14,2000,31,0,1827
15,Japan,5,8,5,18,2000,36,0,1827
16,Bulgaria,5,6,2,13,2000,29,0,1827
17,Greece,4,6,3,13,2000,27,0,1827
18,Sweden,4,5,3,12,2000,25,0,1827
19,Norway,4,3,3,10,2000,21,0,1827
20,Ethiopia,4,1,3,8,2000,17,0,1827
21,Ukraine,3,10,10,23,2000,39,0,1827
22,Kazakhstan,3,4,0,7,2000,17,0,1827
23,Belarus,3,3,11,17,2000,26,0,1827
24,Canada,3,3,8,14,2000,23,0,1827
25,Spain,3,3,5,11,2000,20,0,1827
26,Turkey,3,0,2,5,2000,11,0,1827
27,Iran,3,0,1,4,2000,10,0,1827
28,Czech Republic,2,3,3,8,2000,15,0,1827
29,Kenya,2,3,2,7,2000,14,0,1827
30,Denmark,2,3,1,6,2000,13,0,1827
31,Finland,2,1,1,4,2000,9,0,1827
32,Austria,2,1,0,3,2000,8,0,1827
33,Lithuania,2,0,3,5,2000,9,0,1827
34,Azerbaijan,2,0,1,3,2000,7,0,1827
34,Bahamas,2,0,1,3,2000,7,0,1827
36,Slovenia,2,0,0,2,2000,6,0,1827
37,Switzerland,1,6,2,9,2000,17,0,1827
38,Indonesia,1,3,2,6,2000,11,0,1827
39,Slovakia,1,3,1,5,2000,10,0,1827
40,Mexico,1,2,3,6,2000,10,0,1827
41,Nigeria,1,2,0,3,2000,7,0,1827
42,Algeria,1,1,3,5,2000,8,0,1827
43,Uzbekistan,1,1,2,4,2000,7,0,1827
44,FR Yugoslavia,1,1,1,3,2000,6,0,1827
44,Latvia,1,1,1,3,2000,6,0,1827
46,New Zealand,1,0,3,4,2000,6,0,1827
47,Estonia,1,0,2,3,2000,5,0,1827
47,Thailand,1,0,2,3,2000,5,0,1827
49,Croatia,1,0,1,2,2000,4,0,1827
50,Cameroon,1,0,0,1,2000,3,0,1827
50,Colombia,1,0,0,1,2000,3,0,1827
50,Mozambique,1,0,0,1,2000,3,0,1827
53,Brazil,0,6,6,12,2000,18,0,1827
54,Jamaica,0,6,3,9,2000,15,0,1827
55,Belgium,0,2,3,5,2000,7,0,1827
55,South Africa,0,2,3,5,2000,7,0,1827
57,Argentina,0,2,2,4,2000,6,0,1827
58,Chinese Taipei,0,1,4,5,2000,6,0,1827
58,Morocco,0,1,4,5,2000,6,0,1827
60,North Korea,0,1,3,4,2000,5,0,1827
61,Moldova,0,1,1,2,2000,3,0,1827
61,Saudi Arabia,0,1,1,2,2000,3,0,1827
61,Trinidad and Tobago,0,1,1,2,2000,3,0,1827
64,Ireland,0,1,0,1,2000,2,0,1827
64,Sri Lanka,0,1,0,1,2000,2,0,1827
64,Uruguay,0,1,0,1,2000,2,0,1827
64,Vietnam,0,1,0,1,2000,2,0,1827
68,Georgia,0,0,6,6,2000,6,0,1827
69,Costa Rica,0,0,2,2,2000,2,0,1827
69,Portugal,0,0,2,2,2000,2,0,1827
71,Armenia,0,0,1,1,2000,1,0,1827
71,Barbados,0,0,1,1,2000,1,0,1827
71,Chile,0,0,1,1,2000,1,0,1827
71,Iceland,0,0,1,1,2000,1,0,1827
71,India,0,0,1,1,2000,1,0,1827
71,Israel,0,0,1,1,2000,1,0,1827
71,Kuwait,0,0,1,1,2000,1,0,1827
71,Kyrgyzstan,0,0,1,1,2000,1,0,1827
71,Macedonia,0,0,1,1,2000,1,0,1827
71,Qatar,0,0,1,1,2000,1,0,1827
1,United States,36,39,26,101,2004,212,0,1828
2,China,32,17,14,63,2004,144,0,1828
3,Russia,28,26,36,90,2004,172,0,1828
4,Australia,17,16,17,50,2004,100,0,1828
5,Japan,16,9,12,37,2004,78,0,1828
6,Germany,13,16,20,49,2004,91,0,1828
7,France,11,9,13,33,2004,64,0,1828
8,Italy,10,11,11,32,2004,63,0,1828
9,South Korea,9,12,9,30,2004,60,0,1828
10,Great Britain,9,9,12,30,2004,57,0,1828
11,Cuba,9,7,11,27,2004,52,0,1828
12,Hungary,8,6,3,17,2004,39,0,1828
13,Ukraine,8,5,9,22,2004,43,0,1828
14,Romania,8,5,6,19,2004,40,0,1828
15,Greece,6,6,4,16,2004,34,1,1828
16,Brazil,5,2,3,10,2004,22,0,1828
17,Norway,5,0,1,6,2004,16,0,1828
18,Netherlands,4,9,9,22,2004,39,0,1828
19,Sweden,4,2,1,7,2004,17,0,1828
20,Spain,3,11,6,20,2004,37,0,1828
21,Canada,3,6,3,12,2004,24,0,1828
22,Turkey,3,3,4,10,2004,19,0,1828
23,Poland,3,2,5,10,2004,18,0,1828
24,New Zealand,3,2,0,5,2004,13,0,1828
25,Thailand,3,1,4,8,2004,15,0,1828
26,Belarus,2,5,6,13,2004,22,0,1828
27,Austria,2,4,1,7,2004,15,0,1828
28,Ethiopia,2,3,2,7,2004,14,0,1828
29,Iran,2,2,2,6,2004,12,0,1828
29,Slovakia,2,2,2,6,2004,12,0,1828
31,Chinese Taipei,2,2,1,5,2004,11,0,1828
32,Georgia,2,2,0,4,2004,10,0,1828
33,Bulgaria,2,1,9,12,2004,17,0,1828
34,Denmark,2,1,5,8,2004,13,0,1828
35,Jamaica,2,1,2,5,2004,10,0,1828
35,Uzbekistan,2,1,2,5,2004,10,0,1828
37,Morocco,2,1,0,3,2004,8,0,1828
38,Argentina,2,0,4,6,2004,10,0,1828
39,Chile,2,0,1,3,2004,7,0,1828
40,Kazakhstan,1,4,3,8,2004,14,0,1828
41,Kenya,1,4,2,7,2004,13,0,1828
42,Czech Republic,1,3,5,9,2004,14,0,1828
43,South Africa,1,3,2,6,2004,11,0,1828
44,Croatia,1,2,2,5,2004,9,0,1828
45,Lithuania,1,2,0,3,2004,7,0,1828
46,Egypt,1,1,3,5,2004,8,0,1828
46,Switzerland,1,1,3,5,2004,8,0,1828
48,Indonesia,1,1,2,4,2004,7,0,1828
49,Zimbabwe,1,1,1,3,2004,6,0,1828
50,Azerbaijan,1,0,4,5,2004,7,0,1828
51,Belgium,1,0,2,3,2004,5,0,1828
52,Bahamas,1,0,1,2,2004,4,0,1828
52,Israel,1,0,1,2,2004,4,0,1828
54,Cameroon,1,0,0,1,2004,3,0,1828
54,Dominican Republic,1,0,0,1,2004,3,0,1828
54,United Arab Emirates,1,0,0,1,2004,3,0,1828
57,North Korea,0,4,1,5,2004,9,0,1828
58,Latvia,0,4,0,4,2004,8,0,1828
59,Mexico,0,3,1,4,2004,7,0,1828
60,Portugal,0,2,1,3,2004,5,0,1828
61,Finland,0,2,0,2,2004,4,0,1828
61,Serbia and Montenegro,0,2,0,2,2004,4,0,1828
63,Slovenia,0,1,3,4,2004,5,0,1828
64,Estonia,0,1,2,3,2004,4,0,1828
65,Hong Kong,0,1,0,1,2004,2,0,1828
65,India,0,1,0,1,2004,2,0,1828
65,Paraguay,0,1,0,1,2004,2,0,1828
68,Colombia,0,0,2,2,2004,2,0,1828
68,Nigeria,0,0,2,2,2004,2,0,1828
68,Venezuela,0,0,2,2,2004,2,0,1828
71,Eritrea,0,0,1,1,2004,1,0,1828
71,Mongolia,0,0,1,1,2004,1,0,1828
71,Syria,0,0,1,1,2004,1,0,1828
71,Trinidad and Tobago,0,0,1,1,2004,1,0,1828
1,China,48,22,30,100,2008,218,1,1865
2,United States,36,39,37,112,2008,223,0,1865
3,Russia,24,13,23,60,2008,121,0,1865
4,Great Britain,19,13,19,51,2008,102,0,1865
5,Germany,16,11,14,41,2008,84,0,1865
6,Australia,14,15,17,46,2008,89,0,1865
7,South Korea,13,11,8,32,2008,69,0,1865
8,Japan,9,8,8,25,2008,51,0,1865
9,Italy,8,9,10,27,2008,52,0,1865
10,France,7,16,20,43,2008,73,0,1865
11,Netherlands,7,5,4,16,2008,35,0,1865
12,Ukraine,7,4,11,22,2008,40,0,1865
13,Kenya,6,4,6,16,2008,32,0,1865
14,Spain,5,11,3,19,2008,40,0,1865
15,Jamaica,5,4,2,11,2008,25,0,1865
16,Poland,4,5,2,11,2008,24,0,1865
17,Ethiopia,4,2,1,7,2008,17,0,1865
18,Romania,4,1,4,9,2008,18,0,1865
19,Cuba,3,10,17,30,2008,46,0,1865
20,Canada,3,9,8,20,2008,35,0,1865
21,Hungary,3,5,2,10,2008,21,0,1865
22,Norway,3,5,1,9,2008,20,0,1865
23,Brazil,3,4,10,17,2008,27,0,1865
24,Belarus,3,4,7,14,2008,24,0,1865
25,Czech Republic,3,3,1,7,2008,16,0,1865
26,Slovakia,3,3,0,6,2008,15,0,1865
27,New Zealand,3,2,4,9,2008,17,0,1865
28,Georgia,3,2,2,7,2008,15,0,1865
29,Kazakhstan,2,3,4,9,2008,16,0,1865
30,Denmark,2,2,3,7,2008,13,0,1865
31,North Korea,2,2,2,6,2008,12,0,1865
31,Thailand,2,2,2,6,2008,12,0,1865
33,Mongolia,2,2,0,4,2008,10,0,1865
34,Switzerland,2,1,4,7,2008,12,0,1865
35,Argentina,2,0,4,6,2008,10,0,1865
36,Mexico,2,0,2,4,2008,8,0,1865
37,Belgium,2,0,0,2,2008,6,0,1865
38,Zimbabwe,1,3,0,4,2008,9,0,1865
39,Slovenia,1,2,2,5,2008,9,0,1865
40,Azerbaijan,1,1,4,6,2008,9,0,1865
40,Indonesia,1,1,4,6,2008,9,0,1865
42,Bulgaria,1,1,3,5,2008,8,0,1865
42,Turkey,1,1,3,5,2008,8,0,1865
44,Chinese Taipei,1,1,2,4,2008,7,0,1865
44,Finland,1,1,2,4,2008,7,0,1865
46,Latvia,1,1,1,3,2008,6,0,1865
47,Dominican Republic,1,1,0,2,2008,5,0,1865
47,Estonia,1,1,0,2,2008,5,0,1865
47,Portugal,1,1,0,2,2008,5,0,1865
47,Trinidad and Tobago,1,1,0,2,2008,5,0,1865
51,India,1,0,2,3,2008,5,0,1865
52,Iran,1,0,1,2,2008,4,0,1865
53,Cameroon,1,0,0,1,2008,3,0,1865
53,Panama,1,0,0,1,2008,3,0,1865
53,Tunisia,1,0,0,1,2008,3,0,1865
56,Sweden,0,4,1,5,2008,9,0,1865
57,Lithuania,0,3,2,5,2008,8,0,1865
57,Nigeria,0,3,2,5,2008,8,0,1865
59,Croatia,0,2,3,5,2008,7,0,1865
60,Colombia,0,2,1,3,2008,5,0,1865
60,Greece,0,2,1,3,2008,5,0,1865
62,Armenia,0,1,4,5,2008,6,0,1865
63,Uzbekistan,0,1,3,4,2008,5,0,1865
64,Austria,0,1,2,3,2008,4,0,1865
64,Ireland,0,1,2,3,2008,4,0,1865
64,Kyrgyzstan,0,1,2,3,2008,4,0,1865
64,Serbia,0,1,2,3,2008,4,0,1865
68,Algeria,0,1,1,2,2008,3,0,1865
68,Bahamas,0,1,1,2,2008,3,0,1865
68,Morocco,0,1,1,2,2008,3,0,1865
68,Tajikistan,0,1,1,2,2008,3,0,1865
72,Chile,0,1,0,1,2008,2,0,1865
72,Ecuador,0,1,0,1,2008,2,0,1865
72,Iceland,0,1,0,1,2008,2,0,1865
72,Malaysia,0,1,0,1,2008,2,0,1865
72,Samoa,0,1,0,1,2008,2,0,1865
72,Singapore,0,1,0,1,2008,2,0,1865
72,South Africa,0,1,0,1,2008,2,0,1865
72,Sudan,0,1,0,1,2008,2,0,1865
72,Vietnam,0,1,0,1,2008,2,0,1865
81,Egypt,0,0,2,2,2008,2,0,1865
82,Afghanistan,0,0,1,1,2008,1,0,1865
82,Israel,0,0,1,1,2008,1,0,1865
82,Mauritius,0,0,1,1,2008,1,0,1865
82,Moldova,0,0,1,1,2008,1,0,1865
82,Togo,0,0,1,1,2008,1,0,1865
82,Venezuela,0,0,1,1,2008,1,0,1865
1,United States,48,26,30,104,2012,226,0,1871
2,China,39,31,22,92,2012,201,0,1871
3,Great Britain,29,18,18,65,2012,141,1,1871
4,Russia,18,21,26,65,2012,122,0,1871
5,South Korea,13,9,9,31,2012,66,0,1871
6,Germany,11,20,13,44,2012,86,0,1871
7,France,11,11,13,35,2012,68,0,1871
8,Australia,8,15,12,35,2012,66,0,1871
9,Italy,8,9,11,28,2012,53,0,1871
10,Hungary,8,4,6,18,2012,38,0,1871
11,Japan,7,14,17,38,2012,66,0,1871
12,Iran,7,5,1,13,2012,32,0,1871
13,Netherlands,6,6,8,20,2012,38,0,1871
14,New Zealand,6,2,5,13,2012,27,0,1871
15,Ukraine,5,4,10,19,2012,33,0,1871
16,Cuba,5,3,7,15,2012,28,0,1871
17,Spain,4,10,6,20,2012,38,0,1871
18,Jamaica,4,5,4,13,2012,26,0,1871
19,Czech Republic,4,4,3,11,2012,23,0,1871
20,South Africa,4,1,1,6,2012,15,0,1871
21,North Korea,4,0,2,6,2012,14,0,1871
22,Brazil,3,5,9,17,2012,28,0,1871
23,Kazakhstan,3,2,6,11,2012,19,0,1871
23,Poland,3,2,6,11,2012,19,0,1871
25,Ethiopia,3,2,3,8,2012,16,0,1871
26,Croatia,3,1,2,6,2012,13,0,1871
27,Canada,2,6,10,18,2012,28,0,1871
28,Belarus,2,5,3,10,2012,19,0,1871
29,Kenya,2,4,7,13,2012,21,0,1871
30,Denmark,2,4,3,9,2012,17,0,1871
31,Romania,2,4,1,7,2012,15,0,1871
32,Azerbaijan,2,2,5,9,2012,15,0,1871
33,Switzerland,2,2,0,4,2012,10,0,1871
34,Norway,2,1,1,4,2012,9,0,1871
35,Lithuania,2,0,3,5,2012,9,0,1871
36,Tunisia,2,0,1,3,2012,7,0,1871
37,Sweden,1,4,3,8,2012,14,0,1871
38,Colombia,1,3,5,9,2012,14,0,1871
39,Mexico,1,3,4,8,2012,13,0,1871
40,Georgia,1,2,3,6,2012,10,0,1871
41,Ireland,1,1,4,6,2012,9,0,1871
42,Argentina,1,1,2,4,2012,7,0,1871
42,Serbia,1,1,2,4,2012,7,0,1871
42,Slovenia,1,1,2,4,2012,7,0,1871
42,Trinidad and Tobago,1,1,2,4,2012,7,0,1871
