,Year,Total_Score,Rolling_Mean,Rolling_Std,Threshold,Performance_Spike,NOC,Sport,Host,Name,EventCount,PersonCount
4730,1988,0,,0,,FALSE,CHN,Synchronized Swimming,0,3,2,3
4731,1992,0,0,0,0,FALSE,CHN,Synchronized Swimming,0,3,2,3
4732,1996,0,0,0,0,FALSE,CHN,Synchronized Swimming,0,8,1,8
4733,2000,0,0,0,0,FALSE,CHN,Synchronized Swimming,0,9,2,9
4734,2004,0,0,0,0,FALSE,CHN,Synchronized Swimming,0,8,2,8
4735,2008,9,1.8,4.024922359499621,7.837383539249432,TRUE,CHN,Synchronized Swimming,1,9,2,9
4736,2012,20,5.8,8.843076387773657,19.06461458166049,TRUE,CHN,Synchronized Swimming,0,9,2,9
4737,2016,22,10.2,10.545141061171254,26.01771159175688,TRUE,CHN,Synchronized Swimming,0,9,2,9
4738,1988,16,,0,,FALSE,CHN,Table Tennis,0,7,4,7
4739,1992,22,19,4.242640687119285,25.36396103067893,FALSE,CHN,Table Tennis,0,8,4,8
4740,1996,29,22.33333333333333,6.5064070986477125,32.0929439813049,TRUE,CHN,Table Tennis,0,8,4,8
4741,2000,29,24,6.271629240742261,33.40744386111339,FALSE,CHN,Table Tennis,0,9,4,9
4742,2004,20,23.2,5.718391382198319,31.777587073297475,FALSE,CHN,Table Tennis,0,9,4,9
4743,2008,30,26,4.636809247747852,32.95521387162178,FALSE,CHN,Table Tennis,1,6,4,6
4744,2012,28,27.2,4.08656334834051,33.32984502251077,FALSE,CHN,Table Tennis,0,6,4,6
4745,2016,28,27,4,33,FALSE,CHN,Table Tennis,0,6,4,6
4746,2020,32,27.6,4.560701700396551,34.441052550594826,FALSE,CHN,Table Tennis,0,7,5,7
4747,2024,32,30,1.9999999999999984,33,FALSE,CHN,Table Tennis,0,6,5,6
4748,2000,3,,0,,FALSE,CHN,Taekwondo,0,3,3,3
4749,2004,6,4.5,2.1213203435596424,7.681980515339464,FALSE,CHN,Taekwondo,0,2,2,2
4750,2008,4,4.333333333333333,1.5275252316519463,6.624621180811253,FALSE,CHN,Taekwondo,1,4,4,4
4751,2012,6,4.75,1.5,7,FALSE,CHN,Taekwondo,0,3,3,3
4752,2016,6,5,1.4142135623730951,7.121320343559643,FALSE,CHN,Taekwondo,0,4,4,4
4753,2020,1,4.6,2.1908902300206643,7.886335345030995,FALSE,CHN,Taekwondo,0,6,6,6
4754,2024,3,4,2.1213203435596424,7.181980515339464,FALSE,CHN,Taekwondo,0,6,6,6
4755,1988,0,,0,,FALSE,CHN,Tennis,0,2,1,2
4756,1992,0,0,0,0,FALSE,CHN,Tennis,0,5,3,5
4757,1996,0,0,0,0,FALSE,CHN,Tennis,0,4,3,4
4758,2000,0,0,0,0,FALSE,CHN,Tennis,0,3,2,3
4759,2004,6,1.2,2.683281572999748,5.2249223594996215,TRUE,CHN,Tennis,0,4,2,4
4760,2008,2,1.6,2.6076809620810595,5.511521443121589,FALSE,CHN,Tennis,1,8,4,8
4761,2012,0,1.6,2.6076809620810595,5.511521443121589,FALSE,CHN,Tennis,0,4,2,4
4762,2016,0,1.6,2.6076809620810595,5.511521443121589,FALSE,CHN,Tennis,0,5,2,5
4763,2020,0,1.6,2.6076809620810595,5.511521443121589,FALSE,CHN,Tennis,0,5,2,5
4764,2024,7,1.8,3.03315017762062,6.34972526643093,TRUE,CHN,Tennis,0,7,4,7
4765,2020,7,,0,,FALSE,CHN,Trampoline Gymnastics,0,4,2,4
4766,2024,3,5,2.8284271247461903,9.242640687119286,FALSE,CHN,Trampoline Gymnastics,0,4,2,4
4767,2004,1,,0,,FALSE,CHN,Trampolining,0,2,2,2
4768,2008,7,4,4.242640687119285,10.363961030678928,FALSE,CHN,Trampolining,1,4,2,4
4769,2012,7,5,3.4641016151377544,10.196152422706632,FALSE,CHN,Trampolining,0,4,2,4
4770,2016,4,4.75,2.8722813232690143,9.05842198490352,FALSE,CHN,Trampolining,0,4,2,4
4771,2000,0,,0,,FALSE,CHN,Triathlon,0,2,1,2
4772,2004,0,0,0,0,FALSE,CHN,Triathlon,0,2,1,2
4773,2008,0,0,0,0,FALSE,CHN,Triathlon,1,3,2,3
4774,2012,0,0,0,0,FALSE,CHN,Triathlon,0,2,2,2
4775,2016,0,0,0,0,FALSE,CHN,Triathlon,0,2,2,2
4776,2020,0,0,0,0,FALSE,CHN,Triathlon,0,1,1,1
4777,2024,0,0,0,0,FALSE,CHN,Triathlon,0,1,1,1
4778,1984,30,,0,,FALSE,CHN,Volleyball,0,22,2,22
4779,1988,11,20.5,13.435028842544405,40.65254326381661,FALSE,CHN,Volleyball,0,11,1,11
4780,1992,0,13.666666666666666,15.17673658377628,36.43177154233109,FALSE,CHN,Volleyball,0,12,1,12
4781,1996,18,14.75,12.579745625409124,33.61961843811369,FALSE,CHN,Volleyball,0,9,1,9
4782,2000,0,11.8,12.735776379946374,30.903664569919563,FALSE,CHN,Volleyball,0,12,1,12
4783,2004,36,13,14.966629547095764,35.44994432064365,TRUE,CHN,Volleyball,0,12,1,12
4784,2008,12,13.2,14.939879517586478,35.60981927637972,FALSE,CHN,Volleyball,1,24,2,24
4785,2012,0,13.2,14.939879517586478,35.60981927637972,FALSE,CHN,Volleyball,0,12,1,12
4786,2016,36,16.8,18.19890106572372,44.09835159858558,TRUE,CHN,Volleyball,0,12,1,12
4787,2020,0,16.8,18.19890106572372,44.09835159858558,FALSE,CHN,Volleyball,0,12,1,12
4788,2024,0,9.6,15.646085772486355,33.06912865872953,FALSE,CHN,Volleyball,0,13,1,13
4789,1984,0,,0,,FALSE,CHN,Water Polo,0,12,1,12
4790,1988,0,0,0,0,FALSE,CHN,Water Polo,0,13,1,13
4791,2008,0,0,0,0,FALSE,CHN,Water Polo,1,25,2,25
4792,2012,0,0,0,0,FALSE,CHN,Water Polo,0,13,1,13
4793,2016,0,0,0,0,FALSE,CHN,Water Polo,0,13,1,13
4794,2020,0,0,0,0,FALSE,CHN,Water Polo,0,13,1,13
4795,2024,0,0,0,0,FALSE,CHN,Water Polo,0,13,1,13
4796,1936,0,,0,,FALSE,CHN,Weightlifting,0,3,2,3
4797,1984,16,8,11.31370849898476,24.970562748477143,TRUE,CHN,Weightlifting,0,10,6,10
4798,1988,6,7.333333333333333,8.082903768654761,19.457688986315475,FALSE,CHN,Weightlifting,0,10,5,10
4799,1992,6,7,6.6332495807108,16.9498743710662,FALSE,CHN,Weightlifting,0,10,6,10
4800,1996,9,7.4,5.813776741499453,16.120665112249178,FALSE,CHN,Weightlifting,0,10,6,10
4801,2000,18,11,5.65685424949238,19.485281374238568,TRUE,CHN,Weightlifting,0,10,8,10
4802,2004,21,12,7.035623639735144,22.55343545960272,TRUE,CHN,Weightlifting,0,10,9,10
4803,2008,26,16,8.336666000266533,28.5049990003998,TRUE,CHN,Weightlifting,1,10,9,10
4804,2012,19,18.6,6.18869937870632,27.88304906805948,FALSE,CHN,Weightlifting,0,10,9,10
4805,2016,19,20.6,3.2093613071762417,25.414041960764365,FALSE,CHN,Weightlifting,0,10,10,10
4806,2020,23,21.6,2.966479394838264,26.0497190922574,FALSE,CHN,Weightlifting,0,8,8,8
4807,2024,15,20.4,4.219004621945796,26.72850693291869,FALSE,CHN,Weightlifting,0,6,6,6
4808,1984,0,,0,,FALSE,CHN,Wrestling,0,7,7,7
4809,1988,0,0,0,0,FALSE,CHN,Wrestling,0,11,11,11
4810,1992,1,0.3333333333333333,0.5773502691896258,1.199358737117772,FALSE,CHN,Wrestling,0,8,8,8
4811,1996,1,0.5,0.5773502691896257,1.3660254037844386,FALSE,CHN,Wrestling,0,5,5,5
4812,2000,1,0.6,0.5477225575051661,1.421583836257749,FALSE,CHN,Wrestling,0,5,5,5
4813,2004,3,1.2,1.095445115010332,2.843167672515498,TRUE,CHN,Wrestling,0,9,9,9
4814,2008,7,2.6,2.6076809620810595,6.511521443121589,TRUE,CHN,Wrestling,1,16,16,16
4815,2012,2,2.8,2.489979919597747,6.53496987939662,FALSE,CHN,Wrestling,0,7,7,7
4816,2016,2,3,2.345207879911715,6.517811819867572,FALSE,CHN,Wrestling,0,13,13,13
4817,2020,6,4,2.345207879911715,7.517811819867572,FALSE,CHN,Wrestling,0,11,11,11
4818,2024,6,4.6,2.4083189157584592,8.212478373637689,FALSE,CHN,Wrestling,0,12,12,12
4819,2012,0,,0,,FALSE,CIV,Archery,0,1,1,1
4820,2016,0,0,0,0,FALSE,CIV,Archery,0,1,1,1
4821,1964,0,,0,,FALSE,CIV,Athletics,0,6,7,6
4822,1968,0,0,0,0,FALSE,CIV,Athletics,0,7,5,7
4823,1972,0,0,0,0,FALSE,CIV,Athletics,0,6,4,6
4824,1976,0,0,0,0,FALSE,CIV,Athletics,0,8,8,8
4825,1984,2,0.4,0.8944271909999159,1.741640786499874,TRUE,CIV,Athletics,0,6,6,6
4826,1988,0,0.4,0.8944271909999159,1.741640786499874,FALSE,CIV,Athletics,0,9,5,9
4827,1992,0,0.4,0.8944271909999159,1.741640786499874,FALSE,CIV,Athletics,0,9,8,9
4828,1996,0,0.4,0.8944271909999159,1.741640786499874,FALSE,CIV,Athletics,0,5,3,5
4829,2000,0,0.4,0.8944271909999159,1.741640786499874,FALSE,CIV,Athletics,0,8,6,8
4830,2004,0,0,0,0,FALSE,CIV,Athletics,0,2,2,2
4831,2008,0,0,0,0,FALSE,CIV,Athletics,0,1,1,1
4832,2012,0,0,0,0,FALSE,CIV,Athletics,0,3,4,3
4833,2016,0,0,0,0,FALSE,CIV,Athletics,0,4,4,4
4834,2020,0,0,0,0,FALSE,CIV,Athletics,0,3,3,3
4835,2024,0,0,0,0,FALSE,CIV,Athletics,0,7,5,7
4836,1964,0,,0,,FALSE,CIV,Boxing,0,3,3,3
4837,1984,0,0,0,0,FALSE,CIV,Boxing,0,3,3,3
4838,1988,0,0,0,0,FALSE,CIV,Boxing,0,2,2,2
4839,1968,0,,0,,FALSE,CIV,Canoeing,0,3,2,3
4840,1972,0,0,0,0,FALSE,CIV,Canoeing,0,5,3,5
4841,1984,0,0,0,0,FALSE,CIV,Canoeing,0,4,3,4
4842,1988,0,0,0,0,FALSE,CIV,Canoeing,0,2,1,2
4843,1992,0,0,0,0,FALSE,CIV,Canoeing,0,2,1,2
4844,1996,0,0,0,0,FALSE,CIV,Canoeing,0,2,2,2
4845,2008,0,0,0,0,FALSE,CIV,Canoeing,0,1,2,1
4846,2016,0,,0,,FALSE,CIV,Fencing,0,1,1,1
4847,2024,0,0,0,0,FALSE,CIV,Fencing,0,2,2,2
4848,2008,0,,0,,FALSE,CIV,Football,0,16,1,16
4849,2020,0,0,0,0,FALSE,CIV,Football,0,21,1,21
4850,1984,0,,0,,FALSE,CIV,Judo,0,2,2,2
4851,1992,0,0,0,0,FALSE,CIV,Judo,0,2,2,2
4852,1996,0,0,0,0,FALSE,CIV,Judo,0,2,2,2
4853,2000,0,0,0,0,FALSE,CIV,Judo,0,3,3,3
4854,2012,0,0,0,0,FALSE,CIV,Judo,0,1,1,1
4855,2016,0,0,0,0,FALSE,CIV,Judo,0,1,1,1
4856,2020,0,0,0,0,FALSE,CIV,Judo,0,1,1,1
4857,2024,0,0,0,0,FALSE,CIV,Judo,0,1,1,1
4858,2000,0,,0,,FALSE,CIV,Swimming,0,1,1,1
4859,2004,0,0,0,0,FALSE,CIV,Swimming,0,2,2,2
4860,2008,0,0,0,0,FALSE,CIV,Swimming,0,1,1,1
4861,2012,0,0,0,0,FALSE,CIV,Swimming,0,2,2,2
4862,2016,0,0,0,0,FALSE,CIV,Swimming,0,2,2,2
4863,2020,0,0,0,0,FALSE,CIV,Swimming,0,1,1,1
4864,2000,0,,0,,FALSE,CIV,Taekwondo,0,1,1,1
4865,2004,0,0,0,0,FALSE,CIV,Taekwondo,0,1,1,1
4866,2008,0,0,0,0,FALSE,CIV,Taekwondo,0,2,2,2
4867,2012,0,0,0,0,FALSE,CIV,Taekwondo,0,1,1,1
4868,2016,4,0.8,1.7888543819998317,3.483281572999748,TRUE,CIV,Taekwondo,0,3,3,3
4869,2020,1,1,1.7320508075688772,3.598076211353316,FALSE,CIV,Taekwondo,0,4,4,4
4870,2024,1,1.2,1.6431676725154984,3.664751508773248,FALSE,CIV,Taekwondo,0,3,3,3
4871,1988,0,,0,,FALSE,CIV,Tennis,0,1,1,1
4872,1996,0,0,0,0,FALSE,CIV,Tennis,0,2,1,2
4873,2000,0,,0,,FALSE,CIV,Wrestling,0,1,1,1
4874,2012,0,0,0,0,FALSE,CIV,Wrestling,0,1,1,1
4875,1964,0,,0,,FALSE,CMR,Athletics,0,1,2,1
4876,1968,0,0,0,0,FALSE,CMR,Athletics,0,1,1,1
4877,1972,0,0,0,0,FALSE,CMR,Athletics,0,4,7,4
4878,1980,0,0,0,0,FALSE,CMR,Athletics,0,4,6,4
4879,1984,0,0,0,0,FALSE,CMR,Athletics,0,9,12,9
4880,1988,0,0,0,0,FALSE,CMR,Athletics,0,5,8,5
4881,1992,0,0,0,0,FALSE,CMR,Athletics,0,7,8,7
4882,1996,0,0,0,0,FALSE,CMR,Athletics,0,8,6,8
4883,2000,0,0,0,0,FALSE,CMR,Athletics,0,11,8,11
4884,2004,3,0.6,1.3416407864998738,2.6124611797498107,TRUE,CMR,Athletics,0,7,5,7
4885,2008,3,1.2,1.6431676725154982,3.664751508773248,FALSE,CMR,Athletics,0,5,5,5
4886,2012,0,1.2,1.6431676725154984,3.664751508773248,FALSE,CMR,Athletics,0,2,2,2
4887,2016,0,1.2,1.6431676725154984,3.664751508773248,FALSE,CMR,Athletics,0,2,2,2
4888,2020,0,1.2,1.6431676725154984,3.664751508773248,FALSE,CMR,Athletics,0,1,1,1
4889,2024,0,0.6,1.3416407864998738,2.6124611797498107,FALSE,CMR,Athletics,0,2,2,2
4890,1968,2,,0,,FALSE,CMR,Boxing,0,4,4,4
4891,1972,0,1,1.4142135623730951,3.121320343559643,FALSE,CMR,Boxing,0,3,3,3
4892,1980,0,0.6666666666666666,1.1547005383792517,2.398717474235544,FALSE,CMR,Boxing,0,4,4,4
4893,1984,1,0.75,0.9574271077563382,2.186140661634507,FALSE,CMR,Boxing,0,6,6,6
4894,1988,0,0.6,0.8944271909999159,1.9416407864998737,FALSE,CMR,Boxing,0,4,4,4
4895,1996,0,0.2,0.4472135954999581,0.8708203932499372,FALSE,CMR,Boxing,0,4,4,4
4896,2000,0,0.2,0.4472135954999581,0.8708203932499372,FALSE,CMR,Boxing,0,2,2,2
4897,2004,0,0.2,0.4472135954999581,0.8708203932499372,FALSE,CMR,Boxing,0,3,3,3
4898,2008,0,0,0,0,FALSE,CMR,Boxing,0,3,3,3
4899,2012,0,0,0,0,FALSE,CMR,Boxing,0,5,5,5
4900,2016,0,0,0,0,FALSE,CMR,Boxing,0,4,4,4
4901,2020,0,0,0,0,FALSE,CMR,Boxing,0,3,3,3
4902,1972,0,,0,,FALSE,CMR,Cycling,0,4,2,4
4903,1976,0,0,0,0,FALSE,CMR,Cycling,0,4,1,4
4904,1980,0,0,0,0,FALSE,CMR,Cycling,0,6,2,6
4905,1984,0,0,0,0,FALSE,CMR,Cycling,0,5,2,5
4906,1984,0,,0,,FALSE,CMR,Football,0,15,1,15
4907,2000,54,27,38.18376618407357,84.27564927611036,TRUE,CMR,Football,0,18,1,18
4908,2008,0,18,31.176914536239792,64.76537180435969,FALSE,CMR,Football,0,17,1,17
4909,2012,0,13.5,27,54,FALSE,CMR,Football,0,17,1,17
4910,1980,0,,0,,FALSE,CMR,Judo,0,5,5,5
4911,1984,0,0,0,0,FALSE,CMR,Judo,0,6,6,6
4912,1996,0,0,0,0,FALSE,CMR,Judo,0,1,1,1
4913,2000,0,0,0,0,FALSE,CMR,Judo,0,3,3,3
4914,2004,0,0,0,0,FALSE,CMR,Judo,0,4,4,4
4915,2008,0,0,0,0,FALSE,CMR,Judo,0,1,1,1
4916,2012,0,0,0,0,FALSE,CMR,Judo,0,1,1,1
4917,2016,0,0,0,0,FALSE,CMR,Judo,0,1,1,1
4918,2020,0,0,0,0,FALSE,CMR,Judo,0,2,2,2
4919,2024,0,0,0,0,FALSE,CMR,Judo,0,1,1,1
4920,2008,0,,0,,FALSE,CMR,Rowing,0,1,1,1
4921,2012,0,0,0,0,FALSE,CMR,Rowing,0,1,1,1
4922,2004,0,,0,,FALSE,CMR,Swimming,0,1,1,1
4923,2008,0,0,0,0,FALSE,CMR,Swimming,0,2,2,2
4924,2012,0,0,0,0,FALSE,CMR,Swimming,0,2,2,2
4925,2020,0,0,0,0,FALSE,CMR,Swimming,0,2,2,2
4926,2024,0,0,0,0,FALSE,CMR,Swimming,0,2,2,2
4927,2008,0,,0,,FALSE,CMR,Table Tennis,0,1,1,1
4928,2012,0,0,0,0,FALSE,CMR,Table Tennis,0,1,1,1
4929,2020,0,0,0,0,FALSE,CMR,Table Tennis,0,1,1,1
4930,2024,0,0,0,0,FALSE,CMR,Table Tennis,0,1,1,1
4931,1988,0,,0,,FALSE,CMR,Weightlifting,0,2,2,2
4932,1992,0,0,0,0,FALSE,CMR,Weightlifting,0,1,1,1
4933,1996,0,0,0,0,FALSE,CMR,Weightlifting,0,1,1,1
4934,2004,0,0,0,0,FALSE,CMR,Weightlifting,0,2,2,2
4935,2008,0,0,0,0,FALSE,CMR,Weightlifting,0,1,1,1
4936,2012,0,0,0,0,FALSE,CMR,Weightlifting,0,2,2,2
4937,2016,0,0,0,0,FALSE,CMR,Weightlifting,0,2,2,2
4938,2020,0,0,0,0,FALSE,CMR,Weightlifting,0,2,2,2
4939,1980,0,,0,,FALSE,CMR,Wrestling,0,6,6,6
4940,1984,0,0,0,0,FALSE,CMR,Wrestling,0,5,5,5
4941,1988,0,0,0,0,FALSE,CMR,Wrestling,0,4,7,4
4942,1996,0,0,0,0,FALSE,CMR,Wrestling,0,1,1,1
4943,2008,0,0,0,0,FALSE,CMR,Wrestling,0,1,1,1
4944,2012,0,0,0,0,FALSE,CMR,Wrestling,0,1,1,1
4945,2016,0,0,0,0,FALSE,CMR,Wrestling,0,3,3,3
4946,2020,0,0,0,0,FALSE,CMR,Wrestling,0,1,1,1
4947,1984,0,,0,,FALSE,COD,Athletics,0,2,3,2
4948,1988,0,0,0,0,FALSE,COD,Athletics,0,6,8,6
4949,1992,0,0,0,0,FALSE,COD,Athletics,0,7,6,7
4950,1996,0,0,0,0,FALSE,COD,Athletics,0,2,1,2
4951,2000,0,0,0,0,FALSE,COD,Athletics,0,2,3,2
4952,2004,0,0,0,0,FALSE,COD,Athletics,0,2,2,2
4953,2008,0,0,0,0,FALSE,COD,Athletics,0,2,2,2
4954,2012,0,0,0,0,FALSE,COD,Athletics,0,2,2,2
4955,2016,0,0,0,0,FALSE,COD,Athletics,0,2,2,2
4956,2020,0,0,0,0,FALSE,COD,Athletics,0,1,1,1
4957,2024,0,0,0,0,FALSE,COD,Athletics,0,1,1,1
4958,1984,0,,0,,FALSE,COD,Boxing,0,6,6,6
4959,1988,0,0,0,0,FALSE,COD,Boxing,0,5,5,5
4960,1992,0,0,0,0,FALSE,COD,Boxing,0,1,1,1
4961,2008,0,0,0,0,FALSE,COD,Boxing,0,1,1,1
4962,2012,0,0,0,0,FALSE,COD,Boxing,0,1,1,1
4963,2020,0,0,0,0,FALSE,COD,Boxing,0,4,4,4
4964,2024,0,0,0,0,FALSE,COD,Boxing,0,2,2,2
4965,1968,0,,0,,FALSE,COD,Cycling,0,5,2,5
4966,1988,0,0,0,0,FALSE,COD,Cycling,0,4,2,4
4967,1992,0,0,0,0,FALSE,COD,Cycling,0,3,1,3
4968,1992,0,,0,,FALSE,COD,Judo,0,6,6,6
4969,2008,0,0,0,0,FALSE,COD,Judo,0,1,1,1
4970,2012,0,0,0,0,FALSE,COD,Judo,0,1,1,1
4971,2016,0,0,0,0,FALSE,COD,Judo,0,1,1,1
4972,2020,0,0,0,0,FALSE,COD,Judo,0,1,1,1
4973,2024,0,0,0,0,FALSE,COD,Judo,0,1,1,1
4974,2008,0,,0,,FALSE,COD,Swimming,0,1,1,1
4975,2024,0,0,0,0,FALSE,COD,Swimming,0,2,2,2
4976,2016,0,,0,,FALSE,COD,Taekwondo,0,1,1,1
4977,2020,0,0,0,0,FALSE,COD,Taekwondo,0,1,1,1
4978,1988,0,,0,,FALSE,COK,Athletics,0,2,3,2
4979,1992,0,0,0,0,FALSE,COK,Athletics,0,1,1,1
4980,1996,0,0,0,0,FALSE,COK,Athletics,0,1,1,1
4981,2000,0,0,0,0,FALSE,COK,Athletics,0,1,1,1
4982,2004,0,0,0,0,FALSE,COK,Athletics,0,2,2,2
4983,2008,0,0,0,0,FALSE,COK,Athletics,0,2,2,2
4984,2012,0,0,0,0,FALSE,COK,Athletics,0,2,2,2
4985,2016,0,0,0,0,FALSE,COK,Athletics,0,2,2,2
4986,2020,0,0,0,0,FALSE,COK,Athletics,0,1,1,1
4987,2024,0,0,0,0,FALSE,COK,Athletics,0,1,1,1
4988,2012,0,,0,,FALSE,COK,Canoeing,0,2,3,2
4989,2016,0,0,0,0,FALSE,COK,Canoeing,0,2,2,2
4990,1996,0,,0,,FALSE,COK,Sailing,0,1,1,1
4991,2000,0,0,0,0,FALSE,COK,Sailing,0,1,1,1
4992,2012,0,0,0,0,FALSE,COK,Sailing,0,1,1,1
4993,2016,0,0,0,0,FALSE,COK,Sailing,0,2,2,2
4994,2008,0,,0,,FALSE,COK,Swimming,0,1,1,1
4995,2012,0,0,0,0,FALSE,COK,Swimming,0,2,2,2
4996,2016,0,0,0,0,FALSE,COK,Swimming,0,2,2,2
4997,2020,0,0,0,0,FALSE,COK,Swimming,0,2,3,2
4998,2024,0,0,0,0,FALSE,COK,Swimming,0,1,1,1
4999,1988,0,,0,,FALSE,COK,Weightlifting,0,2,2,2
5000,1992,0,0,0,0,FALSE,COK,Weightlifting,0,1,1,1
5001,1996,0,0,0,0,FALSE,COK,Weightlifting,0,1,1,1
5002,2004,0,0,0,0,FALSE,COK,Weightlifting,0,1,1,1
5003,2008,0,0,0,0,FALSE,COK,Weightlifting,0,1,1,1
5004,2012,0,0,0,0,FALSE,COK,Weightlifting,0,1,1,1
5005,2016,0,0,0,0,FALSE,COK,Weightlifting,0,1,1,1
5006,1984,0,,0,,FALSE,COL,Archery,0,1,1,1
5007,1992,0,0,0,0,FALSE,COL,Archery,0,1,1,1
5008,2008,0,0,0,0,FALSE,COL,Archery,0,3,2,3
5009,2012,0,0,0,0,FALSE,COL,Archery,0,2,2,2
5010,2016,0,0,0,0,FALSE,COL,Archery,0,4,3,4
5011,2020,0,0,0,0,FALSE,COL,Archery,0,2,3,2
5012,2024,0,0,0,0,FALSE,COL,Archery,0,4,4,4
5013,1932,0,,0,,FALSE,COL,Athletics,0,1,1,1
5014,1936,0,0,0,0,FALSE,COL,Athletics,0,5,5,5
5015,1948,0,0,0,0,FALSE,COL,Athletics,0,2,2,2
5016,1956,0,0,0,0,FALSE,COL,Athletics,0,4,4,4
5017,1964,0,0,0,0,FALSE,COL,Athletics,0,4,5,4
5018,1968,0,0,0,0,FALSE,COL,Athletics,0,4,5,4
5019,1972,0,0,0,0,FALSE,COL,Athletics,0,7,6,7
5020,1976,0,0,0,0,FALSE,COL,Athletics,0,7,5,7
5021,1980,0,0,0,0,FALSE,COL,Athletics,0,4,4,4
5022,1984,0,0,0,0,FALSE,COL,Athletics,0,5,6,5
5023,1988,0,0,0,0,FALSE,COL,Athletics,0,8,11,8
5024,1992,1,0.2,0.4472135954999579,0.870820393249937,TRUE,COL,Athletics,0,5,5,5
5025,1996,0,0.2,0.4472135954999579,0.870820393249937,FALSE,COL,Athletics,0,13,12,13
5026,2000,0,0.2,0.4472135954999579,0.870820393249937,FALSE,COL,Athletics,0,11,8,11
5027,2004,0,0.2,0.4472135954999579,0.870820393249937,FALSE,COL,Athletics,0,11,9,11
5028,2008,0,0.2,0.4472135954999579,0.870820393249937,FALSE,COL,Athletics,0,14,14,14
5029,2012,2,0.4,0.8944271909999159,1.741640786499874,TRUE,COL,Athletics,0,29,22,29
5030,2016,3,1,1.4142135623730951,3.121320343559643,FALSE,COL,Athletics,0,33,19,33
5031,2020,4,1.8,1.7888543819998317,4.483281572999748,FALSE,COL,Athletics,0,25,15,25
5032,2024,0,1.8,1.7888543819998317,4.483281572999748,FALSE,COL,Athletics,0,18,13,18
5033,1972,2,,0,,FALSE,COL,Boxing,0,7,7,7
5034,1976,0,1,1.4142135623730951,3.121320343559643,FALSE,COL,Boxing,0,5,5,5
5035,1984,0,0.6666666666666666,1.1547005383792517,2.398717474235544,FALSE,COL,Boxing,0,5,5,5
5036,1988,1,0.75,0.9574271077563382,2.186140661634507,FALSE,COL,Boxing,0,2,2,2
5037,1992,0,0.6,0.8944271909999159,1.9416407864998737,FALSE,COL,Boxing,0,3,3,3
5038,1996,0,0.2,0.4472135954999581,0.8708203932499372,FALSE,COL,Boxing,0,4,4,4
5039,2000,0,0.2,0.4472135954999581,0.8708203932499372,FALSE,COL,Boxing,0,3,3,3
5040,2004,0,0.2,0.4472135954999581,0.8708203932499372,FALSE,COL,Boxing,0,5,5,5
5041,2008,0,0,0,0,FALSE,COL,Boxing,0,5,5,5
5042,2012,0,0,0,0,FALSE,COL,Boxing,0,3,3,3
5043,2016,3,0.6,1.3416407864998738,2.6124611797498107,TRUE,COL,Boxing,0,5,5,5
5044,2020,0,0.6,1.3416407864998738,2.6124611797498107,FALSE,COL,Boxing,0,6,6,6
5045,2024,0,0.6,1.3416407864998738,2.6124611797498107,FALSE,COL,Boxing,0,5,5,5
5046,1956,0,,0,,FALSE,COL,Cycling,0,8,5,8
5047,1960,0,0,0,0,FALSE,COL,Cycling,0,7,4,7
5048,1964,0,0,0,0,FALSE,COL,Cycling,0,8,5,8
5049,1968,0,0,0,0,FALSE,COL,Cycling,0,10,5,10
5050,1972,0,0,0,0,FALSE,COL,Cycling,0,10,6,10
5051,1976,0,0,0,0,FALSE,COL,Cycling,0,11,5,11
5052,1984,0,0,0,0,FALSE,COL,Cycling,0,7,4,7
5053,1988,0,0,0,0,FALSE,COL,Cycling,0,7,2,7
5054,1992,0,0,0,0,FALSE,COL,Cycling,0,8,6,8
5055,1996,0,0,0,0,FALSE,COL,Cycling,0,12,7,12
5056,2000,0,0,0,0,FALSE,COL,Cycling,0,9,7,9
5057,2004,1,0.2,0.4472135954999579,0.870820393249937,TRUE,COL,Cycling,0,8,6,8
5058,2008,0,0.2,0.4472135954999579,0.870820393249937,FALSE,COL,Cycling,0,13,8,13
5059,2012,6,1.4,2.6076809620810595,5.311521443121589,TRUE,COL,Cycling,0,17,13,17
5060,2016,4,2.2,2.683281572999748,6.2249223594996215,FALSE,COL,Cycling,0,15,10,15
5061,2020,3,,0,,FALSE,COL,Cycling BMX Racing,0,3,2,3
5062,2024,0,1.5,2.1213203435596424,4.681980515339464,FALSE,COL,Cycling BMX Racing,0,5,2,5
5063,2020,0,,0,,FALSE,COL,Cycling Road,0,5,3,5
5064,2024,0,0,0,0,FALSE,COL,Cycling Road,0,3,2,3
5065,2020,0,,0,,FALSE,COL,Cycling Track,0,1,2,1
5066,2024,0,0,0,0,FALSE,COL,Cycling Track,0,5,5,5
5067,1960,0,,0,,FALSE,COL,Diving,0,1,1,1
5068,1964,0,0,0,0,FALSE,COL,Diving,0,1,1,1
5069,1968,0,0,0,0,FALSE,COL,Diving,0,3,3,3
5070,1972,0,0,0,0,FALSE,COL,Diving,0,2,2,2
5071,2000,0,0,0,0,FALSE,COL,Diving,0,2,3,2
5072,2004,0,0,0,0,FALSE,COL,Diving,0,1,2,1
5073,2008,0,0,0,0,FALSE,COL,Diving,0,3,4,3
5074,2012,0,0,0,0,FALSE,COL,Diving,0,2,2,2
5075,2016,0,0,0,0,FALSE,COL,Diving,0,4,3,4
